date,weight,temp,nedbor,vind
4/20/2021,180102,2.1,4.2,10.2
4/21/2021,161894,2.7,0.2,12.8
4/22/2021,204775,3.3,0,12
4/23/2021,191837,3.4,0.1,9.4
4/24/2021,110287,2.8,1.1,10
4/25/2021,80711,2.8,1.1,8.6
4/26/2021,219307,2.7,0.8,11.9
4/27/2021,163788,2,0.6,13.7
4/28/2021,178764,2.2,1.3,11.2
4/29/2021,130128,2.7,2,12.2
4/30/2021,108009,3.3,0,6.9
5/1/2021,33865,4.6,0,11.4
5/2/2021,41891,6.3,0,10
5/3/2021,179883,5.2,0,5.4
5/4/2021,132889,5,0.2,6.3
5/5/2021,121778,4.2,0.3,9.5
5/6/2021,119907,5.4,0.4,7.2
5/7/2021,108221,5.9,0.4,9.8
5/8/2021,45302,6.2,0,12.4
5/9/2021,23347,7.1,0.1,12.6
5/10/2021,135407,5.5,0,17.4
5/11/2021,95372,6.3,0,15.5
5/12/2021,94758,6.8,0.6,8
5/13/2021,16833,8.3,0.4,8.2
5/14/2021,52295,8.9,0,5.6
5/15/2021,20684,7.4,10.4,12.3
5/16/2021,24311,6.7,1.2,12.3
5/17/2021,5156,7.2,0,9.1
5/18/2021,71390,7.4,0,11.2
5/19/2021,55538,6.9,0,15
5/20/2021,77838,7.3,0,13.7
5/21/2021,87741,7.6,0,7.3
5/22/2021,23569,7.1,0,14.1
5/23/2021,10536,6.9,0.1,14.1
5/24/2021,23971,6.5,0,13
5/25/2021,100135,6.6,0,8
5/26/2021,58989,7,0.2,6.2
5/27/2021,73605,7.5,0,7.1
5/28/2021,56590,8.4,0.5,6.2
5/29/2021,25033,9.9,0,7.6
5/30/2021,23878,13.7,0.2,6.3
5/31/2021,59413,13,0,7.6
6/1/2021,70190,11.9,0.1,6.5
6/2/2021,75433,9.7,0,7.3
6/3/2021,81785,11.8,0,9.3
6/4/2021,68555,10.7,4.2,5.3
6/5/2021,32803,10.4,0,5
6/6/2021,20657,12.3,0.5,7.4
6/7/2021,84642,12.8,0,9.8
6/8/2021,61151,12,2.1,10.9
6/9/2021,107432,11.1,1.8,7.2
6/10/2021,68201,8.7,3.2,11.4
6/11/2021,55484,8.5,1.6,8.6
6/12/2021,16191,8.2,7.1,12.8
6/13/2021,16851,8.2,2,12.6
6/14/2021,44139,11.1,2.1,10.3
6/15/2021,46188,10.8,0,11.2
6/16/2021,46373,9.4,0.1,11.9
6/17/2021,46378,9.8,0,9.3
6/18/2021,44752,10.5,0.2,9.6
6/19/2021,12572,10,3.4,6.7
6/20/2021,11620,11.5,4.9,8
6/21/2021,64357,10,0.9,8.2
6/22/2021,54151,9.8,0.3,7.9
6/23/2021,47316,10,0,8.4
6/24/2021,39830,10.7,2.1,11.1
6/25/2021,45583,9.6,0,10.6
6/26/2021,24621,9.3,0.5,9.2
6/27/2021,18852,10.6,0.4,7.6
6/28/2021,39427,10.9,0.2,7.7
6/29/2021,42916,10.3,0,6.8
6/30/2021,54418,10.9,0.1,8.4
7/1/2021,34408,11.5,0,8.7
7/2/2021,25958,14.4,0.1,6
7/3/2021,13853,15.3,0,5.7
7/4/2021,15643,17.4,0.1,6.8
7/5/2021,58169,12.9,3.6,9.2
7/6/2021,52252,13.2,0.1,5.4
7/7/2021,48532,12.2,0,11.4
7/8/2021,33503,13.3,0,12
7/9/2021,34307,13.8,5.9,10
7/10/2021,15642,12.2,0.8,12
7/11/2021,5568,12,0.6,5.2
7/12/2021,31130,12.4,0.3,18
7/13/2021,44533,11.3,4.7,16.7
7/14/2021,34125,11.8,3.9,11.6
7/15/2021,56457,10.6,3.1,10.6
7/16/2021,16386,9.9,0.2,12.2
7/17/2021,11504,9.3,1.8,12.7
7/18/2021,3849,10.2,0.3,15
7/19/2021,40138,10.1,4.1,11.3
7/20/2021,13994,9.9,0.1,7.6
7/21/2021,15483,11.1,7.3,9.2
7/22/2021,18011,11.1,5.1,7.9
7/23/2021,19639,11.4,0,4.1
7/24/2021,12680,12.4,0.1,8.3
7/25/2021,3851,11.3,0,8.9
7/26/2021,35449,10,0,15.3
7/27/2021,48758,10.4,0.1,15.5
7/28/2021,32448,9.6,0,14.1
7/29/2021,32640,9.8,0,7.8
7/30/2021,28039,9.6,0.8,9.2
7/31/2021,19567,11,0.3,8.7
